feature,win_mean,loss_mean,difference,percent_difference,cohens_d,abs_cohens_d
knicks_efg_pct,0.5815678877564845,0.509348979046389,-0.07221890871009551,-0.12417967056037864,-1.278487765188983,1.278487765188983
opp_efg_pct,0.5176217253852596,0.5810814774090114,0.06345975202375176,0.12259870270421788,1.095915727098496,1.095915727098496
knicks_fg3_pct,0.3953412698412698,0.3205633802816902,-0.07477788955957965,-0.18914769406594736,-1.0475245784308387,1.0475245784308387
opp_fg3_pct,0.3289603174603174,0.40647887323943654,0.07751855577911915,0.23564713330041773,0.987073848366097,0.987073848366097
knicks_ast,28.476190476190474,23.267605633802816,-5.208584842387658,-0.18291017005040272,-0.9620903495544814,0.9620903495544814
knicks_tov_margin,-2.0793650793650795,1.0,3.0793650793650795,1.4809160305343512,0.7390705766147666,0.7390705766147666
rebound_margin,5.5476190476190474,-0.9154929577464789,-6.463112005365526,-1.1650244816538717,-0.7151481003995601,0.7151481003995601
opp_tov,15.317460317460318,12.816901408450704,-2.500558909009614,-0.16324892359337376,-0.7072037494428391,0.7072037494428391
assist_turnover_ratio,2.3401172370350833,1.7745860954430481,-0.5655311415920352,-0.24166786716573238,-0.7034635850486922,0.7034635850486922
opp_assist_turnover_ratio,1.6694193918928555,2.146763529013998,0.47734413712114243,0.28593422326304135,0.6063593539537355,0.6063593539537355
free_throw_attempt_margin,0.873015873015873,-1.2816901408450705,-2.1547060138609435,-2.4681177976952626,-0.26411669164536183,0.26411669164536183
opp_fta,21.03174603174603,22.549295774647888,1.5175497429018563,0.07215519532288071,0.22370748012977884,0.22370748012977884
is_home,0.5317460317460317,0.4225352112676056,-0.10921082047842612,-0.20538154298927896,-0.21854056041919862,0.21854056041919862
oreb_margin,0.9523809523809523,2.0422535211267605,1.0898725687458082,1.1443661971830987,0.19617593772853967,0.19617593772853967
opp_oreb,10.53968253968254,9.873239436619718,-0.6664431030628215,-0.06323180044120144,-0.18129124338863314,0.18129124338863314
knicks_tov,13.238095238095237,13.816901408450704,0.5788061703554668,0.04372276826426188,0.17328988908193696,0.17328988908193696
knicks_fg3a,35.63492063492063,34.84507042253521,-0.7898502123854243,-0.022165061639323712,-0.10740087577237142,0.10740087577237142
knicks_oreb,11.492063492063492,11.915492957746478,0.423429465682986,0.03684538168235928,0.10516885925353794,0.10516885925353794
knicks_pf,18.785714285714285,19.211267605633804,0.42555331991951917,0.02265302843678049,0.10444722405873615,0.10444722405873615
opp_fg3a,37.03174603174603,36.32394366197183,-0.7078023697741997,-0.01911339446882751,-0.10289377932817564,0.10289377932817564
knicks_fta,21.904761904761905,21.267605633802816,-0.637156270959089,-0.029087568891610585,-0.09270757827265821,0.09270757827265821
game_type_binary,0.1746031746031746,0.15492957746478872,-0.019673597138385873,-0.11267605633802819,-0.05243174021801754,0.05243174021801754
opp_pf,19.658730158730158,19.746478873239436,0.0877487145092779,0.0044636003343435674,0.021541194508553175,0.021541194508553175
