feature,win_mean,loss_mean,difference,cohens_d,abs_cohens_d,direction
sga_plus_minus,14.924657534246576,-7.444444444444445,-22.36910197869102,-2.114360129767346,2.114360129767346,lower_in_losses
jalen_williams_plus_minus,11.252525252525253,-9.64516129032258,-20.897686542847833,-2.027538605107939,2.027538605107939,lower_in_losses
chet_plus_minus,12.293577981651376,-4.366666666666666,-16.66024464831804,-1.7404357531332713,1.7404357531332713,lower_in_losses
team_bench_plus_minus,25.0251572327044,-20.790697674418606,-45.81585490712301,-1.5327700419974457,1.5327700419974457,lower_in_losses
chet_points,17.05504587155963,12.466666666666667,-4.588379204892965,-0.7601860005631466,0.7601860005631466,lower_in_losses
chet_player_ts_pct,0.6404885410051894,0.5333896024290125,-0.10709893857617692,-0.6897619454724763,0.6897619454724763,lower_in_losses
team_bench_points,35.496855345911946,28.27906976744186,-7.217785578470085,-0.5640754460298907,0.5640754460298907,lower_in_losses
bench_margin,3.5849056603773586,-3.5348837209302326,-7.119789381307591,-0.48452274228362635,0.48452274228362635,lower_in_losses
jalen_williams_player_ts_pct,0.5783478523581937,0.5216272975368967,-0.05672055482129701,-0.45269184857232114,0.45269184857232114,lower_in_losses
sga_player_ts_pct,0.6561014204905361,0.6017306903099695,-0.054370730180566595,-0.4429443900848859,0.4429443900848859,lower_in_losses
jalen_williams_player_efg_pct,0.5359336163045776,0.4745234228267589,-0.061410193477818675,-0.43065381361984073,0.43065381361984073,lower_in_losses
sga_turnovers,2.287671232876712,2.9444444444444446,0.6567732115677325,0.4182681132186224,0.4182681132186224,higher_in_losses
sga_points,31.883561643835616,29.11111111111111,-2.7724505327245055,-0.3735999343642848,0.3735999343642848,lower_in_losses
team_bench_rebounds,16.71069182389937,14.651162790697674,-2.059529033201697,-0.36670874334303444,0.36670874334303444,lower_in_losses
sga_player_efg_pct,0.585640278193825,0.5343754316534663,-0.05126484654035868,-0.3630506848739803,0.3630506848739803,lower_in_losses
chet_blocks,2.036697247706422,1.5,-0.5366972477064218,-0.3430349870776548,0.3430349870776548,lower_in_losses
team_bench_assists,8.345911949685535,7.069767441860465,-1.2761445078250695,-0.3258926503602124,0.3258926503602124,lower_in_losses
sga_assists,6.705479452054795,6.222222222222222,-0.4832572298325726,-0.19490705216276502,0.19490705216276502,lower_in_losses
chet_rebounds,8.73394495412844,8.066666666666666,-0.6672782874617731,-0.19232558259558363,0.19232558259558363,lower_in_losses
sga_fta,9.198630136986301,8.472222222222221,-0.7264079147640796,-0.16265101437061952,0.16265101437061952,lower_in_losses
jalen_williams_turnovers,1.9494949494949494,2.161290322580645,0.21179537308569563,0.15976701455781267,0.15976701455781267,higher_in_losses
jalen_williams_assists,5.151515151515151,4.838709677419355,-0.3128054740957964,-0.1475962457184806,0.1475962457184806,lower_in_losses
jalen_williams_points,20.31313131313131,19.548387096774192,-0.7647442163571192,-0.11104324129423877,0.11104324129423877,lower_in_losses
sga_rebounds,4.63013698630137,4.5,-0.13013698630136972,-0.05380432191007052,0.05380432191007052,lower_in_losses
opponent_bench_points,31.91194968553459,31.813953488372093,-0.09799619716249808,-0.008542544057628313,0.008542544057628313,lower_in_losses
