feature,importance
opp_efg_pct,0.13947566942909825
team_efg_pct,0.11856102704591664
opp_fg3_pct,0.08373602390032661
rebound_margin,0.08135674233049094
opp_assist_turnover_ratio,0.0742529933834018
team_fg3_pct,0.056256960330861715
opp_tov,0.04679539101472572
tov_margin,0.04251494308711375
free_throw_attempt_margin,0.040788064767702865
team_ast,0.03537948171677332
team_pf,0.033963413181058874
assist_turnover_ratio,0.03162264710665071
opp_fta,0.02804352407977421
oreb_margin,0.026673793922546672
team_fta,0.0240874773545197
team_fg3a,0.024067146042023445
opp_fg3a,0.02359607513127208
opp_oreb,0.021657887072898962
team_oreb,0.020853968404447115
opp_pf,0.02062198740994456
team_tov,0.01840803497875537
game_type_binary,0.003770272864608529
is_home,0.0035164754450881385
