feature,coefficient,abs_coefficient
opp_efg_pct,-2.0151990198496135,2.0151990198496135
rebound_margin,1.840111239323453,1.840111239323453
team_efg_pct,1.3608214183633063,1.3608214183633063
team_fg3_pct,0.9352807910251891,0.9352807910251891
opp_fta,-0.8096414657697493,0.8096414657697493
opp_pf,0.762906656569412,0.762906656569412
tov_margin,-0.6843933975828345,0.6843933975828345
free_throw_attempt_margin,0.5544059823426082,0.5544059823426082
opp_tov,0.5367796315686738,0.5367796315686738
opp_fg3_pct,-0.48045415793740903,0.48045415793740903
team_tov,-0.390067199571763,0.390067199571763
team_ast,0.3356636559004022,0.3356636559004022
opp_oreb,-0.310598891627098,0.310598891627098
oreb_margin,0.2937349140242064,0.2937349140242064
assist_turnover_ratio,0.2755882318024761,0.2755882318024761
opp_fg3a,-0.26697727548613975,0.26697727548613975
is_home,-0.23099888200011287,0.23099888200011287
team_fta,-0.15829556011668902,0.15829556011668902
team_fg3a,-0.09716806959787742,0.09716806959787742
team_oreb,0.0943391341673518,0.0943391341673518
game_type_binary,-0.06405616449964655,0.06405616449964655
opp_assist_turnover_ratio,0.045143629513509885,0.045143629513509885
team_pf,-0.020360050446232916,0.020360050446232916
